id,name,birth_year,death_year,nationality,literary_movement,biographical_notes,wikidata_id,created_at,updated_at,author_notes
64,Harriette Ashbrook,1898,1946,United States,,US-american crime writer. Occupations: crime fiction writer,Q28007662,2025-06-17 03:44:44.513472,2025-06-17 16:37:55.591227,
65,Anne Austin,1895,1975,United States,,American crime writer (1895-1975). Born in Waco. Died in Los Angeles. Occupations: crime fiction writer,Q19606547,2025-06-17 03:44:44.513472,2025-06-17 16:37:57.049976,
66,Thyra Samter Winslow,1885,1961,United States,,"American writer and screenwriter. Born in Fort Smith. Died in Los Angeles. Occupations: journalist, actor, short story writer, screenwriter, writer, non-fiction writer, dancer",Q51883022,2025-06-17 03:44:44.513472,2025-06-17 16:37:58.571288,
67,Elisabeth Sanxay Holding,1889,1955,United States,,"American author. Born in Brooklyn. Died in The Bronx. Occupations: novelist, writer",Q3051104,2025-06-17 03:44:44.513472,2025-06-17 16:38:00.075432,
68,Edna May Baker,,,,,,,2025-06-17 03:44:44.513472,2025-06-17 03:44:44.513472,
69,Hagar Wilde,1905,1971,United States,,American writer (1905–1971). Born in Toledo. Occupations: screenwriter,Q5638549,2025-06-17 03:44:44.513472,2025-06-17 16:38:01.756321,
70,Margaret Culkin Banning,1891,1982,United States,,"novelist. Born in Buffalo. Died in Tryon. Occupations: politician, novelist, short story writer, writer",Q6759314,2025-06-17 03:44:44.513472,2025-06-17 16:38:03.191455,
71,Katherine Brush and Grace Sartwell Mason,,,,,,,2025-06-17 03:44:44.513472,2025-06-17 03:44:44.513472,
72,Margaret Mitchell,2000,,,,"researcher, natural language processing. Born in United States. Occupations: AI ethicist, researcher. Notable works: Q103724290, Q105943036",Q50346871,2025-06-17 03:44:44.513472,2025-06-17 16:38:04.996892,
73,Jane Allen,,,,,researcher. Occupations: researcher,Q96212290,2025-06-17 03:44:44.513472,2025-06-18 01:48:58.893469,"group pseud of Silvia Schulman and Jane Shore, and later Jane Shore and ???"
74,Jeannette Stratton Porter,,,,,,,2025-06-17 03:44:44.513472,2025-06-17 03:44:44.513472,
75,Rebecca Yancey Williams,,,,,,,2025-06-17 03:44:44.513472,2025-06-17 03:44:44.513472,
76,Ellen Glasgow,1873,1945,United States,,"Novelist, short story writer (1873–1945). Born in Richmond. Died in Richmond. Occupations: writer, suffragette, essayist, novelist, poet. Notable works: In This Our Life",Q433325,2025-06-17 03:44:44.513472,2025-06-17 16:38:08.385941,
77,Isobel Scott Rorick,1900,1967,United States,,,,2025-06-17 03:44:44.513472,2025-06-17 22:07:09.381084,
