Title,Year,Directors,imdbID,Review
The Good Provider,1922,Frank Borzage,,AFI Catalog ID: 1484.0
The Love Gambler,1922,Joseph Franz,,AFI Catalog ID: 10403.0
Without Compromise,1922,Emmett J. Flynn,,AFI Catalog ID: 13393.0
A Chapter in Her Life,1923,Lois Weber,,AFI Catalog ID: 3247.0
Black Oxen,1923,Frank Lloyd,,AFI Catalog ID: 2888.0
Crashin' Thru,1923,Val Paul,,AFI Catalog ID: 1412.0
Long Live the King,1923,Victor Schertzinger,,AFI Catalog ID: 10359.0
Michael O'Halloran,1923,James Leo Meehan,,AFI Catalog ID: 10741.0
Nobody's Bride,1923,Herbert Blaché,,AFI Catalog ID: 11007.0
Railroaded,1923,Edmund Mortimer,,AFI Catalog ID: 11531.0
The Fighting Blade,1923,John S. Robertson,,AFI Catalog ID: 9002.0
The Flame of Life,1923,Hobart Henley,,AFI Catalog ID: 9078.0
The Glimpses of the Moon,1923,Allan Dwan,,AFI Catalog ID: 9390.0
The Leopardess,1923,Henry Kolker,,AFI Catalog ID: 10231.0
The Nth Commandment,1923,Frank Borzage,,AFI Catalog ID: 11039.0
The Self-Made Wife,1923,Jack Dillon,,AFI Catalog ID: 11967.0
Yesterday's Wife,1923,Edward J. Le Saint,,AFI Catalog ID: 13515.0
A Girl of the Limberlost,1924,James Leo Meehan,,AFI Catalog ID: 9367.0
A Lady of Quality,1924,Hobart Henley,,AFI Catalog ID: 10133.0
A Lost Lady,1924,Harry Beaumont,,AFI Catalog ID: 10379.0
Broken Laws,1924,R. William Neill,,AFI Catalog ID: 3086.0
Changing Husbands,1924,"Frank Urson, Paul Iribe",,AFI Catalog ID: 3245.0
Empty Hearts,1924,Al Santell,,AFI Catalog ID: 8830.0
Feet of Clay,1924,Cecil B. De Mille,,AFI Catalog ID: 8977.0
Inez From Hollywood,1924,Alfred E. Green,,AFI Catalog ID: 9924.0
Sandra,1924,"Arthur H. Sawyer, Webster Campbell, George Melford",,AFI Catalog ID: 11872.0
So Big,1924,Charles Brabin,,AFI Catalog ID: 1690.0
Teeth,1924,John G. Blystone,,"AFI Catalog ID: 12556.0 | also based on the short story ""Teeth,"" by
Clinton H. Stagg"
The 40th Door,1924,George B. Seitz,,AFI Catalog ID: 9206.0
The Age of Innocence,1924,Wesley Ruggles,,AFI Catalog ID: 2526.0
The Breathless Moment,1924,Robert F. Hill,,AFI Catalog ID: 3020.0
The Dawn of a Tomorrow,1924,George Melford,,AFI Catalog ID: 3650.0
The Family Secret,1924,William Seiter,,AFI Catalog ID: 8931.0
The Tenth Woman,1924,James Flood,,AFI Catalog ID: 12578.0
Are Parents People?,1925,Malcolm St. Clair,,AFI Catalog ID: 2618.0
Bobbed Hair,1925,Alan Crosland,,AFI Catalog ID: 2947.0
Chickie,1925,John Francis Dillon,,AFI Catalog ID: 3287.0
Drusilla With a Million,1925,F. Harmon Weight,,AFI Catalog ID: 8774.0
My Wife and I,1925,Millard Webb,,AFI Catalog ID: 10902.0
On Thin Ice,1925,Mal St. Clair,,AFI Catalog ID: 11111.0
Peacock Feathers,1925,Svend Gade,,AFI Catalog ID: 11309.0
Playing With Souls,1925,Ralph Ince,,AFI Catalog ID: 11378.0
Salome of the Tenements,1925,Sidney Olcott,,AFI Catalog ID: 1657.0
Stella Dallas,1925,Henry King,,AFI Catalog ID: 12407.0
The Girl of Gold,1925,John Ince,,AFI Catalog ID: 9364.0
The Home Maker,1925,King Baggot,,AFI Catalog ID: 9791.0
