id,name,birth_year,death_year,nationality,literary_movement,biographical_notes,wikidata_id,created_at,updated_at,author_notes
30,Elinor Chipp,,,,,,,2025-06-17T03:44:44.513472,2025-06-17T03:44:44.513472,
170,Elisabeth Cobb,1902,1959,United States,,American writer. Died in New York City. Occupations: writer,Q121200091,2025-06-19T17:55:47.602155,2025-06-20T17:53:50.547848,aka Elisabeth Cobb Chapman
67,Elisabeth Sanxay Holding,1889,1955,United States,,"American author. Born in Brooklyn. Died in The Bronx. Occupations: novelist, writer",Q3051104,2025-06-17T03:44:44.513472,2025-06-17T16:38:00.075432,
117,Elisa Bialk,1908,1990,United States,,"American writer. Died in Hilton Head Island. Occupations: short story writer, novelist",Q115924808,2025-06-18T02:21:09.58882,2025-06-20T17:52:44.956192,
39,Elizabeth Alexander,1962,,United States,,American composer. Born in Chester. Occupations: composer,Q18808501,2025-06-17T03:44:44.513472,2025-06-17T16:37:21.39204,
175,Elizabeth Cooper,,,,,,-,2025-06-19T17:55:47.602155,2025-06-23T03:51:53.499112,
196,Elizabeth Dejeans,1868,1928,,,American writer. Occupations: writer,Q114065088,2025-06-23T00:49:56.759267,2025-06-23T01:12:24.557211,pseud of Frances Elizabeth Janes Budgett
201,Elizabeth Dunn,,,,,,,2025-06-23T00:49:56.759267,2025-06-23T00:49:56.759267,
76,Ellen Glasgow,1873,1945,United States,,"Novelist, short story writer (1873–1945). Born in Richmond. Died in Richmond. Occupations: writer, suffragette, essayist, novelist, poet. Notable works: In This Our Life",Q433325,2025-06-17T03:44:44.513472,2025-06-17T16:38:08.385941,
99,Emily Dunning Barringer,1876,1961,United States,,,,2025-06-17T03:44:44.513472,2025-06-17T22:05:32.804088,
155,Ernestine Gilbreth Carey,1908,2006,United States,,"Author, memoirist (1908–2006). Born in New York. Died in Fresno. Occupations: writer",Q522426,2025-06-19T17:55:47.602155,2025-06-20T17:53:30.777265,
221,Esther Forbes,1891,1967,United States,,"novelist (1891-1967). Born in Westborough. Died in Worcester. Occupations: writer, biographer, novelist, historian, children's writer. Notable works: Johnny Tremain, Paul Revere and the World He Lived In",Q454420,2025-07-02T23:42:40.28474,2025-07-03T00:46:29.285649,
200,Ethel Smith Dorrance,1880,,,,1880-; E. S. Dorrance. Born in Pennsylvania. Occupations: writer,Q120815424,2025-06-23T00:49:56.759267,2025-06-23T01:12:30.550903,
208,Eve Burkhardt,,,,,,,2025-06-24T13:48:25.835294,2025-06-24T13:48:25.835294,"co-writer Robert F. Burkhardt, under the pseud Rob Eden"
